,Ingredient 1,Ingredient 2,Ingredient 3,Effects
35,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Powdered Mammoth Tusk 0006bc10,"Weakness to Frost, Fortify Sneak"
36,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Purple Mountain Flower 00077e1e,"Weakness to Frost, Fortify Sneak"
37,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Rock Warbler Egg 0007e8c8,"Weakness to Frost, Restore Health"
38,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Sabre Cat Tooth 0006bc04,"Weakness to Poison, Weakness to Frost"
39,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Salt Pile 00074a19,"Weakness to Frost, Fortify Restoration"
40,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Skeever Tail 0003ad6f,"Weakness to Frost, Fortify Light Armor"
41,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Small Antlers 0006bc0b,"Weakness to Poison, Weakness to Frost, Fortify Restoration"
42,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Small Pearl 00085500,"Weakness to Frost, Fortify Restoration"
43,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Snowberries 0001b3bd,"Weakness to Frost, Resist Shock"
44,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Swamp Fungal Pod 0007e8b7,"Weakness to Frost, Restore Health, Resist Shock"
45,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Wheat 0004b0ba,"Weakness to Frost, Restore Health"
46,Abecean Longfin 00106e1b,Ash Hopper JellyDB xx01cd71,Yellow Mountain FlowerDG xx002a78,"Weakness to Frost, Fortify Restoration"
47,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,,Fortify Sneak
48,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Bee 000a9195,"Weakness to Shock, Fortify Sneak"
49,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Bleeding Crown 0004da20,"Weakness to Poison, Fortify Sneak"
50,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Bone Meal 00034cdd,"Fortify Sneak, Resist Fire"
51,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Chaurus Eggs 0003ad56,"Weakness to Poison, Fortify Sneak"
52,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Cyrodilic Spadetail 00106e19,"Fortify Sneak, Fortify Restoration"
53,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Deathbell 000516c8,"Weakness to Poison, Fortify Sneak"
54,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Dragon's Tongue 000889a2,"Fortify Sneak, Resist Fire"
55,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Elves Ear 00034d31,"Weakness to Frost, Fortify Sneak, Resist Fire"
56,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Falmer Ear 0003ad5d,"Fortify Lockpicking, Fortify Sneak"
57,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Fire Salts 0003ad5e,"Weakness to Frost, Fortify Sneak, Resist Fire"
58,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Fly Amanita 0004da00,"Fortify Sneak, Resist Fire"
59,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Giant Lichen 0007e8c1,"Weakness to Poison, Weakness to Shock, Fortify Sneak"
60,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Hagraven Feathers 0003ad66,"Weakness to Shock, Fortify Sneak"
61,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Ice Wraith Teeth 0003ad6a,"Weakness to Frost, Fortify Sneak"
62,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Mudcrab Chitin 0006bc00,"Fortify Sneak, Resist Fire"
63,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Namira's Rot 0004da24,"Fortify Lockpicking, Fortify Sneak"
64,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Pine Thrush Egg 00023d6f,"Weakness to Poison, Fortify Lockpicking, Fortify Sneak"
65,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Sabre Cat Tooth 0006bc04,"Weakness to Poison, Fortify Sneak"
66,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Salt Pile 00074a19,"Fortify Sneak, Fortify Restoration"
67,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Small Antlers 0006bc0b,"Weakness to Poison, Fortify Sneak, Fortify Restoration"
68,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Small Pearl 00085500,"Fortify Sneak, Fortify Restoration"
69,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Snowberries 0001b3bd,"Fortify Sneak, Resist Fire"
70,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Spawn AshDB xx01cd6d,"Fortify Sneak, Resist Fire"
71,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Spider Egg 0009151b,"Fortify Lockpicking, Fortify Sneak"
72,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Trama RootDB xx017008,"Weakness to Shock, Fortify Sneak"
73,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Void Salts 0003ad60,"Weakness to Shock, Fortify Sneak"
74,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,White Cap 0004da22,"Weakness to Frost, Fortify Sneak"
75,Abecean Longfin 00106e1b,Ashen Grass PodDB xx016e26,Yellow Mountain FlowerDG xx002a78,"Fortify Sneak, Fortify Restoration"
76,Abecean Longfin 00106e1b,Bear Claws 0006bc02,Hawk Feathers 000e7ed0,"Fortify Sneak, Fortify One-handed"
77,Abecean Longfin 00106e1b,Bear Claws 0006bc02,Pine Thrush Egg 00023d6f,"Weakness to Poison, Restore Stamina"
78,Abecean Longfin 00106e1b,Bear Claws 0006bc02,Powdered Mammoth Tusk 0006bc10,"Restore Stamina, Fortify Sneak"
79,Abecean Longfin 00106e1b,Bear Claws 0006bc02,Purple Mountain Flower 00077e1e,"Restore Stamina, Fortify Sneak"
80,Abecean Longfin 00106e1b,Bear Claws 0006bc02,Sabre Cat Tooth 0006bc04,"Weakness to Poison, Restore Stamina"
81,Abecean Longfin 00106e1b,Bear Claws 0006bc02,Small Pearl 00085500,"Restore Stamina, Fortify One-handed, Fortify Restoration"
82,Abecean Longfin 00106e1b,Bear Claws 0006bc02,Yellow Mountain FlowerDG xx002a78,"Fortify Health, Fortify Restoration"
83,Abecean Longfin 00106e1b,Bee 000a9195,Deathbell 000516c8,"Weakness to Poison, Ravage Stamina"
84,Abecean Longfin 00106e1b,Bee 000a9195,Giant Lichen 0007e8c1,"Weakness to Poison, Weakness to Shock"
85,Abecean Longfin 00106e1b,Bee 000a9195,Pine Thrush Egg 00023d6f,"Weakness to Poison, Restore Stamina"
86,Abecean Longfin 00106e1b,Bee 000a9195,Powdered Mammoth Tusk 0006bc10,"Restore Stamina, Fortify Sneak"
87,Abecean Longfin 00106e1b,Bee 000a9195,Purple Mountain Flower 00077e1e,"Restore Stamina, Fortify Sneak"
88,Abecean Longfin 00106e1b,Bee 000a9195,Sabre Cat Tooth 0006bc04,"Weakness to Poison, Restore Stamina"
89,Abecean Longfin 00106e1b,Bee 000a9195,Small Pearl 00085500,"Restore Stamina, Fortify Restoration"
90,Abecean Longfin 00106e1b,Beehive Husk 000a9191,,Fortify Sneak
91,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Bleeding Crown 0004da20,"Weakness to Poison, Fortify Sneak"
92,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Charred Skeever Hide 00052695,"Resist Poison, Fortify Sneak"
93,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Chaurus Eggs 0003ad56,"Weakness to Poison, Fortify Sneak"
94,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Cyrodilic Spadetail 00106e19,"Fortify Sneak, Fortify Restoration"
95,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Deathbell 000516c8,"Weakness to Poison, Fortify Sneak"
96,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Ectoplasm 0003ad63,"Fortify Destruction, Fortify Sneak"
97,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Elves Ear 00034d31,"Weakness to Frost, Fortify Sneak"
98,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Falmer Ear 0003ad5d,"Resist Poison, Fortify Sneak"
99,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Felsaad Tern FeathersDB xx03cd8e,"Fortify Light Armor, Fortify Sneak"
100,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Fire Salts 0003ad5e,"Weakness to Frost, Fortify Sneak"
101,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Garlic 00034d22,"Resist Poison, Fortify Sneak"
102,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Giant Lichen 0007e8c1,"Weakness to Poison, Fortify Sneak"
103,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Glow Dust 0003ad73,"Fortify Destruction, Fortify Sneak"
104,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Glowing Mushroom 0007ee01,"Fortify Destruction, Fortify Sneak"
105,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Grass Pod 00083e64,"Resist Poison, Fortify Sneak"
106,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Honeycomb 000b08c5,"Fortify Light Armor, Fortify Sneak"
107,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Ice Wraith Teeth 0003ad6a,"Weakness to Frost, Fortify Sneak"
108,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Luna Moth Wing 000727df,"Fortify Light Armor, Fortify Sneak"
109,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Mudcrab Chitin 0006bc00,"Resist Poison, Fortify Sneak"
110,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Nightshade 0002f44c,"Fortify Destruction, Fortify Sneak"
111,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Pine Thrush Egg 00023d6f,"Weakness to Poison, Fortify Sneak"
112,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Sabre Cat Tooth 0006bc04,"Weakness to Poison, Fortify Sneak"
113,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Salt Pile 00074a19,"Fortify Sneak, Fortify Restoration"
114,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Skeever Tail 0003ad6f,"Fortify Light Armor, Fortify Sneak"
115,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Slaughterfish Egg 0007e8c5,"Resist Poison, Fortify Sneak"
116,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Small Antlers 0006bc0b,"Weakness to Poison, Fortify Sneak, Fortify Restoration"
117,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Small Pearl 00085500,"Fortify Sneak, Fortify Restoration"
118,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Thistle Branch 000134aa,"Resist Poison, Fortify Sneak"
119,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Troll Fat 0003ad72,"Resist Poison, Fortify Sneak"
120,Abecean Longfin 00106e1b,Beehive Husk 000a9191,White Cap 0004da22,"Weakness to Frost, Fortify Sneak"
121,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Wisp Wrappings 0006bc0e,"Fortify Destruction, Fortify Sneak"
122,Abecean Longfin 00106e1b,Beehive Husk 000a9191,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Fortify Sneak, Fortify Restoration"
123,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,,Weakness to Poison
124,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Boar TuskDB xx01cd6f,"Fortify Block, Weakness to Poison"
125,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Briar Heart 0003ad61,"Fortify Block, Weakness to Poison"
126,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Burnt Spriggan WoodDB xx01cd6e,"Weakness to Poison, Weakness to Fire"
127,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Chicken's Egg 00023d77,"Weakness to Poison, Resist Magic"
128,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Crimson Nirnroot 000b701a,"Weakness to Poison, Resist Magic"
129,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Cyrodilic Spadetail 00106e19,"Weakness to Poison, Fortify Restoration"
130,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Elves Ear 00034d31,"Weakness to Poison, Weakness to Frost"
131,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Felsaad Tern FeathersDB xx03cd8e,"Weakness to Poison, Resist Magic"
132,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Fire Salts 0003ad5e,"Weakness to Poison, Weakness to Frost"
133,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Frost Mirriam 00034d32,"Weakness to Poison, Fortify Sneak"
134,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Frost Salts 0003ad5f,"Weakness to Poison, Weakness to Fire"
135,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,GleamblossomDG xx00b097,"Weakness to Poison, Resist Magic"
136,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Hagraven Claw 0006b689,"Weakness to Poison, Resist Magic"
137,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Hawk Feathers 000e7ed0,"Weakness to Poison, Fortify Sneak"
138,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Hawk's EggHF xx00f1cc,"Weakness to Poison, Resist Magic"
139,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Honeycomb 000b08c5,"Fortify Block, Weakness to Poison"
140,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Human Flesh 001016b3,"Weakness to Poison, Fortify Sneak"
141,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Ice Wraith Teeth 0003ad6a,"Weakness to Poison, Weakness to Frost, Weakness to Fire"
142,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Juniper Berries 0005076e,"Weakness to Poison, Weakness to Fire"
143,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Lavender 00045c28,"Weakness to Poison, Resist Magic"
144,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Moon Sugar 000d8e3f,"Weakness to Poison, Weakness to Fire"
145,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Nirnroot 00059b86,"Weakness to Poison, Resist Magic"
146,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Pearl 000854fe,"Fortify Block, Weakness to Poison"
147,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Powdered Mammoth Tusk 0006bc10,"Weakness to Poison, Fortify Sneak, Weakness to Fire"
148,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Purple Mountain Flower 00077e1e,"Weakness to Poison, Fortify Sneak"
149,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Salt Pile 00074a19,"Weakness to Poison, Fortify Restoration"
150,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Slaughterfish Scales 0003ad70,"Fortify Block, Weakness to Poison"
151,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Small Pearl 00085500,"Weakness to Poison, Fortify Restoration"
152,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Tundra Cotton 0003f7f8,"Fortify Block, Weakness to Poison, Resist Magic"
153,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Void Salts 0003ad60,"Weakness to Poison, Resist Magic"
154,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,White Cap 0004da22,"Weakness to Poison, Weakness to Frost"
155,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Wisp Wrappings 0006bc0e,"Weakness to Poison, Resist Magic"
156,Abecean Longfin 00106e1b,Bleeding Crown 0004da20,Yellow Mountain FlowerDG xx002a78,"Weakness to Poison, Fortify Restoration"
157,Abecean Longfin 00106e1b,Blisterwort 0004da25,Cyrodilic Spadetail 00106e19,"Damage Stamina, Fortify Restoration"
158,Abecean Longfin 00106e1b,Blisterwort 0004da25,Sabre Cat Tooth 0006bc04,"Fortify Smithing, Weakness to Poison"
159,Abecean Longfin 00106e1b,Blue Butterfly Wing 000727de,Cyrodilic Spadetail 00106e19,"Damage Stamina, Fortify Restoration"
160,Abecean Longfin 00106e1b,Blue Dartwing 000e4f0c,Cyrodilic Spadetail 00106e19,"Fear, Fortify Restoration"
161,Abecean Longfin 00106e1b,Blue Dartwing 000e4f0c,Pine Thrush Egg 00023d6f,"Weakness to Poison, Resist Shock"
162,Abecean Longfin 00106e1b,Blue Dartwing 000e4f0c,Powdered Mammoth Tusk 0006bc10,"Fear, Fortify Sneak"
163,Abecean Longfin 00106e1b,Blue Mountain Flower 00077e1c,Yellow Mountain FlowerDG xx002a78,"Fortify Health, Fortify Restoration"
164,Abecean Longfin 00106e1b,Boar TuskDB xx01cd6f,Chaurus Eggs 0003ad56,"Weakness to Poison, Fortify Stamina"
165,Abecean Longfin 00106e1b,Boar TuskDB xx01cd6f,Yellow Mountain FlowerDG xx002a78,"Fortify Health, Fortify Restoration"
166,Abecean Longfin 00106e1b,Bone Meal 00034cdd,Cyrodilic Spadetail 00106e19,"Damage Stamina, Fortify Restoration"
167,Abecean Longfin 00106e1b,Bone Meal 00034cdd,Deathbell 000516c8,"Weakness to Poison, Ravage Stamina"
168,Abecean Longfin 00106e1b,Bone Meal 00034cdd,Elves Ear 00034d31,"Weakness to Frost, Resist Fire"
169,Abecean Longfin 00106e1b,Bone Meal 00034cdd,Fire Salts 0003ad5e,"Weakness to Frost, Resist Fire"
170,Abecean Longfin 00106e1b,Briar Heart 0003ad61,Elves Ear 00034d31,"Restore Magicka, Weakness to Frost"
171,Abecean Longfin 00106e1b,Briar Heart 0003ad61,Fire Salts 0003ad5e,"Restore Magicka, Weakness to Frost"
172,Abecean Longfin 00106e1b,Briar Heart 0003ad61,Giant Lichen 0007e8c1,"Restore Magicka, Weakness to Poison"
173,Abecean Longfin 00106e1b,Briar Heart 0003ad61,Human Flesh 001016b3,"Restore Magicka, Paralysis, Fortify Sneak"
174,Abecean Longfin 00106e1b,Briar Heart 0003ad61,White Cap 0004da22,"Restore Magicka, Weakness to Frost"
175,Abecean Longfin 00106e1b,Burnt Spriggan WoodDB xx01cd6e,Deathbell 000516c8,"Weakness to Poison, Slow"
176,Abecean Longfin 00106e1b,Burnt Spriggan WoodDB xx01cd6e,Ice Wraith Teeth 0003ad6a,"Weakness to Frost, Weakness to Fire"
177,Abecean Longfin 00106e1b,Burnt Spriggan WoodDB xx01cd6e,Powdered Mammoth Tusk 0006bc10,"Fortify Sneak, Weakness to Fire"
178,Abecean Longfin 00106e1b,Burnt Spriggan WoodDB xx01cd6e,Salt Pile 00074a19,"Fortify Restoration, Slow"
179,Abecean Longfin 00106e1b,Butterfly Wing 000727e0,Chaurus Eggs 0003ad56,"Weakness to Poison, Damage Magicka"
180,Abecean Longfin 00106e1b,Butterfly Wing 000727e0,Small Antlers 0006bc0b,"Weakness to Poison, Lingering Damage Stamina, Fortify Restoration"
181,Abecean Longfin 00106e1b,Canis Root 0006abcb,Cyrodilic Spadetail 00106e19,"Damage Stamina, Fortify Restoration"
182,Abecean Longfin 00106e1b,Canis Root 0006abcb,Elves Ear 00034d31,"Weakness to Frost, Fortify Marksman"
183,Abecean Longfin 00106e1b,Canis Root 0006abcb,Hawk Feathers 000e7ed0,"Fortify Sneak, Fortify One-handed"
184,Abecean Longfin 00106e1b,Canis Root 0006abcb,Human Flesh 001016b3,"Paralysis, Fortify Sneak"
185,Abecean Longfin 00106e1b,Canis Root 0006abcb,Small Pearl 00085500,"Fortify One-handed, Fortify Restoration"
186,Abecean Longfin 00106e1b,Charred Skeever Hide 00052695,Hawk Feathers 000e7ed0,"Fortify Sneak, Cure Disease"
187,Abecean Longfin 00106e1b,Charred Skeever Hide 00052695,Pine Thrush Egg 00023d6f,"Weakness to Poison, Restore Stamina"
188,Abecean Longfin 00106e1b,Charred Skeever Hide 00052695,Powdered Mammoth Tusk 0006bc10,"Restore Stamina, Fortify Sneak"
189,Abecean Longfin 00106e1b,Charred Skeever Hide 00052695,Purple Mountain Flower 00077e1e,"Restore Stamina, Fortify Sneak"
190,Abecean Longfin 00106e1b,Charred Skeever Hide 00052695,Sabre Cat Tooth 0006bc04,"Weakness to Poison, Restore Stamina"
191,Abecean Longfin 00106e1b,Charred Skeever Hide 00052695,Small Pearl 00085500,"Restore Stamina, Fortify Restoration"
192,Abecean Longfin 00106e1b,Charred Skeever Hide 00052695,Yellow Mountain FlowerDG xx002a78,"Resist Poison, Fortify Restoration"
193,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,,Weakness to Poison
194,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Crimson Nirnroot 000b701a,"Weakness to Poison, Invisibility"
195,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Cyrodilic Spadetail 00106e19,"Weakness to Poison, Fortify Restoration"
196,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Daedra Heart 0003ad5b,"Weakness to Poison, Damage Magicka"
197,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Elves Ear 00034d31,"Weakness to Poison, Weakness to Frost"
198,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Eye of Sabre Cat 0006bc07,"Weakness to Poison, Damage Magicka"
199,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Fire Salts 0003ad5e,"Weakness to Poison, Weakness to Frost"
200,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Frost Mirriam 00034d32,"Weakness to Poison, Fortify Sneak"
201,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Garlic 00034d22,"Weakness to Poison, Fortify Stamina"
202,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Glow Dust 0003ad73,"Weakness to Poison, Damage Magicka"
203,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Hagraven Feathers 0003ad66,"Weakness to Poison, Damage Magicka"
204,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Hanging Moss 00057f91,"Weakness to Poison, Damage Magicka"
205,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Hawk Feathers 000e7ed0,"Weakness to Poison, Fortify Sneak"
206,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Human Flesh 001016b3,"Weakness to Poison, Fortify Sneak"
207,Abecean Longfin 00106e1b,Chaurus Eggs 0003ad56,Human Heart 000b18cd,"Weakness to Poison, Damage Magicka"
